Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[39] Random Gaussian Sampling Scenario = Huge Few, ITEM_COUNT = 20_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,20000000,1000000.0,1000,Huge Few,20000000,10862892300,1000,592045700
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[40] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,1000,1000000.0,10000,Tiny Some,1000,119100,10000,2237000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[41] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 2_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,2000,1000000.0,10000,Tiny Some,2000,467400,10000,4185900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[42] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 3_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,3000,1000000.0,10000,Tiny Some,3000,741700,10000,3353200
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[43] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 4_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,4000,1000000.0,10000,Tiny Some,4000,775900,10000,3149100
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[44] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 5_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,5000,1000000.0,10000,Tiny Some,5000,828300,10000,2820900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[45] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 6_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,6000,1000000.0,10000,Tiny Some,6000,970800,10000,3000500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[46] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 7_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,7000,1000000.0,10000,Tiny Some,7000,1067400,10000,3031300
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[47] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 8_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,8000,1000000.0,10000,Tiny Some,8000,1258700,10000,2996000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[48] Random Gaussian Sampling Scenario = Tiny Some, ITEM_COUNT = 9_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,9000,1000000.0,10000,Tiny Some,9000,1396000,10000,4074800
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[49] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 10_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,10000,1000000.0,10000,Small Some,10000,1401800,10000,2811300
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[50] Random Gaussian Sampling Scenario = Small Some, ITEM_COUNT = 20_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-18T20:52:42.106647,20000,1000000.0,10000,Small Some,20000,2582200,10000,3432200
